valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
0.341,1997,0.0017,['blink-182'],0.426,165373,0.972,1,6WkSUgo1VdpzgtiXKlFPcY,0.0,0,0.171,-5.122000000000001,1,Dammit,65,1997,0.0954,111.221
0.684,1999,0.0103,['blink-182'],0.434,167067,0.897,0,2m1hi0nfMR9vdGC8UcrnwU,0.0,0,0.612,-4.918,1,All The Small Things,79,1999-06-01,0.0488,148.726
0.468,1999,0.0126,['blink-182'],0.391,148360,0.951,0,4LJhJ6DQS7NwE7UKtvcM52,0.000378,6,0.0878,-7.419,1,What's My Age Again?,75,1999-06-01,0.0692,157.66
0.382,1999,0.034,['blink-182'],0.52,249627,0.775,0,6xpDh0dXrkVp0Po1qrHUd8,0.0,0,0.364,-5.803,1,Adam's Song,70,1999-06-01,0.0348,136.028
0.69,1999,0.000954,['blink-182'],0.47,193000,0.915,0,3nqm3DdVskqbHhmb8S8hMd,7.58e-06,11,0.35,-6.787000000000001,1,Aliens Exist,60,1999-06-01,0.1,107.569
0.591,1999,0.00244,['blink-182'],0.451,143893,0.937,1,5SlKhaPcdIfSjpoM2QtM4C,0.000112,4,0.148,-5.524,1,Dumpweed,60,1999-06-01,0.0952,100.601
0.575,1999,0.0105,['blink-182'],0.532,179333,0.753,0,4TofVhKSYwFXRtbYo5M3h4,0.0,11,0.389,-6.481,1,Going Away To College,58,1999-06-01,0.0322,104.522
0.285,2000,0.00239,['Coldplay'],0.429,266773,0.6609999999999999,0,3AJwUDP919kvQ9QcozQPxg,0.000121,11,0.234,-7.227,1,Yellow,84,2000-07-10,0.0281,173.372
0.165,2000,0.748,['Coldplay'],0.371,227093,0.268,0,7D0RhFcb3CrfPuTJ0obrod,0.0517,1,0.104,-10.505999999999998,1,Sparks,73,2000-07-10,0.0281,102.617
0.195,2000,0.189,['Coldplay'],0.565,273427,0.546,0,0R8P9KfGJCDULmlEoBagcO,0.0015,11,0.17,-7.496,0,Trouble,72,2000-07-10,0.0314,139.757
0.453,2000,0.206,['Coldplay'],0.602,136867,0.612,0,2QhURnm7mQDxBb5jWkbDug,0.00607,0,0.107,-8.408999999999999,1,Don't Panic,65,2000-07-10,0.0335,122.062
0.286,2000,0.0334,['Coldplay'],0.396,304200,0.8029999999999999,0,0qksx8mV28lztYIZ1om8ml,0.0,4,0.0688,-6.186,1,Shiver,66,2000-07-10,0.0487,116.705
0.7659999999999999,2001,0.000189,['Sum 41'],0.568,207093,0.8440000000000001,0,1HNE2PX70ztbEl6MLxrpNL,0.0,9,0.0607,-5.875,1,In Too Deep,74,2001-01-01,0.0505,116.046
0.626,2001,0.000579,['Sum 41'],0.402,178267,0.914,1,4KacUpvbA3Mfo05gttTjhN,0.0,9,0.065,-5.215,1,Fat Lip,73,2001-01-01,0.142,196.505
0.882,2001,0.000715,['blink-182'],0.579,171533,0.928,0,1fJFuvU2ldmeAm5nFIHcPP,0.0,0,0.18,-4.3439999999999985,1,First Date,73,2001,0.0411,95.594
0.83,2001,0.000324,['blink-182'],0.41,171600,0.959,1,2ydUT1pFhuLDnouelIv4WH,0.0,9,0.0766,-4.563,1,The Rock Show,68,2001,0.0869,193.155
0.518,2001,0.000102,['blink-182'],0.552,227200,0.932,1,24CRDgNOgA72JLL7PHFjgB,0.0,0,0.119,-3.782,1,Anthem Part Two,62,2001,0.0426,103.108
0.166,2001,0.00165,['blink-182'],0.519,239333,0.78,0,3YD9EehnGOf88rGSZFrnHg,2.14e-05,2,0.156,-4.939,1,Stay Together For The Kids,63,2001,0.0356,145.125
0.213,2002,0.731,['Coldplay'],0.557,309600,0.442,0,75JFxkI2RXiU7L9VXzMkle,1.46e-05,5,0.11,-7.224,1,The Scientist,84,2002-08-08,0.0243,146.27700000000004
0.255,2002,0.599,['Coldplay'],0.5770000000000001,307880,0.7490000000000001,0,0BCPKOYdS2jbQ8iyB56Zns,0.0115,5,0.183,-7.215,0,Clocks,77,2002-08-08,0.0279,130.97
0.56,2002,0.00105,['Sum 41'],0.431,158733,0.95,1,2OMqSRS11ly56zg9u5za6c,3.63e-05,7,0.272,-4.918,1,Still Waiting,63,2002-01-01,0.26,191.936
0.6579999999999999,2002,0.000143,['Sum 41'],0.359,198493,0.935,1,17XgxMFNzBYv38TEJRC18D,0.0141,8,0.351,-5.529,0,The Hell Song,57,2002-01-01,0.0817,173.429
0.193,2002,0.0553,['Coldplay'],0.424,226680,0.588,0,2nvC4i2aMo4CzRjRflysah,4.95e-06,9,0.298,-5.455,1,In My Place,71,2002-08-08,0.0278,144.636
0.233,2002,0.539,['Coldplay'],0.607,223040,0.405,0,3ou9rSNUQnE7XYmJkUUIOc,6.7e-06,9,0.231,-8.607000000000001,1,Green Eyes,63,2002-08-08,0.0265,129.543
0.593,2003,0.00103,['blink-182'],0.664,227240,0.7809999999999999,0,1oTo3ijRbaDAtrjJrGAPSw,5.33e-06,11,0.0867,-6.5470000000000015,1,I Miss You,70,2003-01-01,0.0339,110.0
0.622,2003,0.103,['blink-182'],0.411,172646,0.962,1,26AYR77170U49cMcXB7aRV,0.0,4,0.529,-5.952000000000001,1,Feeling This,66,2003-11-01,0.0917,173.143
0.593,2003,0.00113,['blink-182'],0.423,227250,0.7140000000000001,0,1AdYZ6X00nXmO613Y7GJOl,6.28e-06,11,0.0855,-8.295,1,I Miss You,74,2003-11-01,0.045,110.017
0.562,2003,0.00689,['blink-182'],0.456,251893,0.95,0,1JfNuvdAIqI3ggkzXuBvPp,0.0149,11,0.207,-3.858,1,Always,55,2003-01-01,0.0853,158.322
0.255,2004,0.00602,['My Chemical Romance'],0.21,186480,0.94,1,7lRlq939cDG4SzWOF4VAnd,0.0,9,0.269,-3.427,1,I'm Not Okay (I Promise),74,2004-06-08,0.123,179.722
0.0857,2004,0.0142,['My Chemical Romance'],0.356,204733,0.96,0,5dTHtzHFPyi8TlTtzoz1J9,0.0,4,0.209,-3.487,1,Helena,74,2004-06-08,0.104,125.921
0.192,2004,0.0286,['My Chemical Romance'],0.202,194253,0.8859999999999999,0,1yKAqZoi8xWGLCf5vajroL,0.0,11,0.643,-3.805,0,The Ghost of You,67,2004-06-08,0.0816,145.781
0.674,2004,0.00366,['My Chemical Romance'],0.387,173733,0.913,1,5bTuwAgYUD5MABOIPH8ZMt,0.0,8,0.136,-3.761,1,You Know What They Do to Guys Like Us in Prison,63,2004-06-08,0.0814,185.957
0.413,2004,0.00237,['My Chemical Romance'],0.486,221093,0.977,0,0BpKPyXhWsTaWkgXeOd1Sn,0.0,7,0.298,-3.463,1,Thank You for the Venom,62,2004-06-08,0.0603,103.501
0.118,2004,0.0234,['My Chemical Romance'],0.252,138840,0.993,0,0axF06XwNLobcx5z8BVtYw,0.0,4,0.228,-3.079,0,"Give 'Em Hell, Kid",60,2004-06-08,0.16,183.773
0.655,2004,0.000902,['My Chemical Romance'],0.5479999999999999,188067,0.888,0,2cViIXIe8Pbd1sOJExMJlK,0.00172,1,0.0943,-4.8610000000000015,0,Cemetery Drive,61,2004-06-08,0.0362,115.993
0.467,2004,0.000133,['My Chemical Romance'],0.3720000000000001,181027,0.975,0,1GErReAT0swX36x3O8GyQn,4.29e-06,10,0.351,-3.949,1,To the End,60,2004-06-08,0.075,162.967
0.124,2005,0.1639999999999999,['Coldplay'],0.209,295533,0.417,0,7LVHVU3tWfcxj5aiPFEW4Q,0.00196,3,0.113,-8.74,1,Fix You,82,2005-06-07,0.0338,138.178
0.353,2005,0.00488,['Coldplay'],0.514,287907,0.898,0,7clUVcSOtkNWa58Gw5RfD4,0.0345,11,0.0746,-6.765,0,Speed of Sound,70,2005-06-07,0.0577,123.067
0.856,2006,0.0506,['My Chemical Romance'],0.463,161920,0.857,0,7j31rVgGX9Q2blT92VBEA0,0.0,4,0.184,-3.063,1,Teenagers,78,2006-10-23,0.0632,111.647
0.236,2006,0.000289,['My Chemical Romance'],0.217,311107,0.905,0,5wQnmLuC1W7ATsArWACrgW,0.00011,2,0.222,-4.103,1,Welcome to the Black Parade,78,2006-10-23,0.0752,96.95
0.309,2006,0.000321,['My Chemical Romance'],0.467,299227,0.883,0,2d6m2F4I7wCuAKtSsdhh83,0.000152,2,0.125,-3.679,0,Famous Last Words,71,2006-10-23,0.106,122.252
0.303,2006,0.0136,['My Chemical Romance'],0.236,279027,0.799,1,0Zh3tKIphLOvQux4dA6PFZ,0.0,4,0.0948,-5.167000000000002,0,Mama,68,2006-10-23,0.0939,208.951
0.362,2006,0.0037,['My Chemical Romance'],0.481,195520,0.973,1,0uukw2CgEIApv4IWAjXrBC,0.000877,7,0.325,-1.945,1,Dead!,67,2006-10-23,0.0542,99.331
0.33,2006,0.00837,['My Chemical Romance'],0.289,238680,0.7959999999999999,0,4RAOI1etsgbh5NP3T5R8rN,2.61e-05,0,0.202,-4.22,1,I Don't Love You,70,2006-10-23,0.0494,169.835
0.222,2006,0.358,['My Chemical Romance'],0.457,142973,0.515,0,0GgN4MhR5GKn5IcKN0e0rG,0.0,4,0.278,-4.31,1,Cancer,66,2006-10-23,0.0261,74.984
0.5429999999999999,2006,0.000111,['My Chemical Romance'],0.513,200880,0.937,0,2kMjk14RmYyYhhSbipoa9U,0.000102,1,0.083,-3.427,0,The Sharpest Lives,64,2006-10-23,0.0532,155.015
0.239,2006,0.000347,['My Chemical Romance'],0.445,184000,0.977,1,7j2Bmzpnf6RwEWEQ2sv8Ho,0.0235,0,0.126,-2.674,1,House of Wolves,63,2006-10-23,0.0995,105.825
0.417,2008,0.0954,['Coldplay'],0.486,242373,0.617,0,1mea3bSkSGXuIRvnydlB5b,3.23e-06,5,0.109,-7.115,0,Viva La Vida,80,2008-05-26,0.0287,138.015
0.649,2010,0.000264,['My Chemical Romance'],0.411,205960,0.986,1,5BB0Jzw60KyfSTyjJqtely,0.00148,8,0.371,-2.522,0,Na Na Na (Na Na Na Na Na Na Na Na Na),70,2010-11-05,0.0583,165.981
0.237,2010,0.131,['Coldplay'],0.312,242496,0.418,0,4fzyvSu73BhGvi96p2zwjL,0.000679,7,0.0836,-9.146,1,Christmas Lights,72,2010-12-01,0.0296,130.795
0.212,2011,0.0509,['Coldplay'],0.449,278719,0.585,0,6nek1Nin9q48AVZcWs9e9D,8.75e-05,5,0.0833,-6.761,1,Paradise,80,2011-10-24,0.0268,139.631
0.162,2014,0.00617,['Coldplay'],0.545,267867,0.675,0,0FDzzruyVECATHXKHFs9eJ,0.00197,6,0.209,-6.474,1,A Sky Full of Stars,78,2014-05-19,0.0279,124.97
0.352,2014,0.0266,['Coldplay'],0.738,285014,0.482,0,23khhseCLQqVMCIT1WMAns,0.621,6,0.106,-8.917,0,Magic,73,2014-05-19,0.0402,93.457
0.412,2015,0.211,['Coldplay'],0.491,258267,0.693,0,3RiPr603aXAoi4GHyXx0uy,6.92e-06,0,0.325,-6.487,0,Hymn for the Weekend,78,2015-12-04,0.0377,90.027
0.446,2017,0.0498,"['The Chainsmokers', 'Coldplay']",0.617,247160,0.635,0,6RUKPb4LETWmmr3iAEQktW,1.44e-05,11,0.1639999999999999,-6.769,0,Something Just Like This,83,2017-04-07,0.0317,103.019
0.32,1995,0.000124,['blink-182'],0.261,194960,0.8220000000000001,0,3gVXAW2pduBl7tzjAGUVRb,0.000344,2,0.0919,-8.288,1,Carousel,54,1995,0.0358,103.213
0.752,1995,1.6e-05,['blink-182'],0.194,159773,0.871,0,6A82LV89Dc6eMJI4ocqwUS,0.0273,9,0.0873,-7.9220000000000015,1,M+M's,52,1995,0.0465,159.41
0.611,1997,5.96e-05,['blink-182'],0.435,199827,0.979,0,6jAbHOQO1qr61CnJW0bq9f,0.000265,11,0.128,-5.154,1,Josie,49,1997,0.105,99.956
0.764,1999,0.0109,['blink-182'],0.574,203440,0.929,0,3Q0yxw9mdycjnuORDvY5E6,3.45e-06,9,0.353,-3.992,1,Mutt,58,1999-06-01,0.0468,105.709
0.243,1999,0.00862,['blink-182'],0.343,143573,0.94,0,1IAeSajljaXAkLZKXBZnE8,4.6e-06,9,0.304,-7.0939999999999985,1,Don't Leave Me,57,1999-06-01,0.0907,145.513
0.903,1999,0.0958,['blink-182'],0.343,138027,0.939,1,3AOWD3Tiswm4tIvg3aQVKu,0.0,11,0.381,-4.102,1,The Party Song,56,1999-06-01,0.112,116.469
0.633,1999,0.0011,['blink-182'],0.249,217333,0.911,0,0k4jXQdPD1NkxQutE3IB1C,1.36e-06,11,0.0993,-5.119,1,Anthem,55,1999-06-01,0.15,100.739
0.687,1999,0.000753,['blink-182'],0.314,165373,0.894,1,0nGBoXoR5o9srQlP0BAZ1Y,0.0,2,0.308,-5.7120000000000015,1,Dysentery Gary,54,1999-06-01,0.0455,111.439
0.211,1999,0.657,['Coldplay'],0.369,171373,0.295,0,1uKzAldJYlwje9HstlwTie,1.5399999999999998e-05,4,0.107,-12.779000000000002,1,See You Soon,62,1999-10-11,0.0351,92.226
0.249,2000,0.396,['Coldplay'],0.495,256467,0.525,0,2DHgvPQD1jApRnT1DBZdrS,0.0073599999999999,7,0.0961,-9.342,0,High Speed,63,2000-07-10,0.0301,154.466
0.131,2000,0.535,['Coldplay'],0.433,249400,0.288,0,5TB6QgrF0RPIxSCGfRDLoe,0.000169,6,0.105,-10.800999999999998,0,We Never Change,61,2000-07-10,0.0296,136.939
0.375,2000,0.871,['Coldplay'],0.555,46200,0.0845,0,4qzoHxgp42ylb18ga1SWTL,2.27e-06,4,0.138,-18.348,1,Parachutes,58,2000-07-10,0.0518,137.001
0.0732,2000,0.0236,['Coldplay'],0.309,318773,0.6729999999999999,0,2mLgOcRkEgq89j8WstUpui,0.000144,1,0.0635,-5.524,0,Spies,58,2000-07-10,0.0319,147.599
0.612,2000,0.00133,['blink-182'],0.218,166733,0.921,1,1PRknVhZ6BsVX61MPrrVsV,7.66e-06,7,0.0777,-4.414,1,Man Overboard,56,2000,0.0602,196.291
0.0763,2000,0.104,['Coldplay'],0.374,436440,0.456,0,1RNtm45kw0hPMBz7gKiIYu,0.000176,6,0.197,-7.35,0,Everything's Not Lost - Includes Hidden Track 'Life Is For Living',57,2000-07-10,0.0368,135.643
0.625,2001,0.00166,['blink-182'],0.502,185467,0.96,0,0V7Wn8Fry7KBO5stYqpFvM,0.0,11,0.377,-2.998,1,Every Time I Look For You,60,2001,0.0484,128.22799999999998
0.515,2001,0.00137,['blink-182'],0.5,186173,0.961,1,4N9fFHRxns1B86F8YTneBz,0.0,11,0.296,-3.92,1,Reckless Abandon,56,2001,0.0961,124.898
0.684,2001,0.00185,['blink-182'],0.579,167560,0.948,1,1BR1AEQSLXDNL9t7nP3xRp,3.3e-06,9,0.143,-3.801,1,Roller Coaster,56,2001,0.048,116.148
0.8540000000000001,2001,0.000341,['blink-182'],0.531,171093,0.96,0,3C0f4W0lQSgMARICJF3KLh,0.0,9,0.0602,-3.75,1,The Rock Show,51,2001-01-01,0.0565,96.532
0.836,2001,0.000769,['blink-182'],0.575,169747,0.932,0,4lLxK3yBvwNoqTFjKC8RNg,0.0,0,0.358,-4.376,1,First Date,51,2001-01-01,0.0457,95.592
0.6990000000000001,2001,0.000313,['blink-182'],0.4970000000000001,198693,0.938,1,6gScUFLkoyvwyDP5tOwn0a,1.51e-06,4,0.39,-3.39,1,Give Me One Good Reason,55,2001,0.102,157.249
0.5660000000000001,2001,0.00107,['blink-182'],0.5579999999999999,219667,0.889,1,6c9UjtsLpfK5hTwTrdRDbR,0.000998,9,0.5379999999999999,-4.388,1,Story Of A Lonely Guy,56,2001,0.0345,152.097
0.0395,2002,0.0942,['Coldplay'],0.532,331133,0.433,0,4bPkBHKLKd9WHizsvM2zV3,0.0121,3,0.142,-9.423,1,Warning Sign,61,2002-08-08,0.0278,140.666
0.206,2002,0.00184,['My Chemical Romance'],0.38,366560,0.797,0,16Fp67kTFhH0XK5Cl6Oz7r,1.42e-05,8,0.208,-9.091,1,Demolition Lovers,57,2002,0.057,118.64
0.252,2002,0.175,['Coldplay'],0.611,297307,0.556,0,4hf0hL4kWyjWztZzVsM39V,7.140000000000001e-05,9,0.0359,-5.761,1,God Put a Smile upon Your Face,63,2002-08-08,0.0288,126.532
0.199,2002,0.0118,['My Chemical Romance'],0.327,326507,0.963,0,7J4uwuiyWB7BqIcyNdcVRl,0.0,4,0.176,-8.871,0,Vampires Will Never Hurt You,55,2002,0.174,98.416
0.534,2002,0.000328,['My Chemical Romance'],0.383,231097,0.946,1,5gNVTfD1L6QrPgOf0wFo0q,1.13e-06,1,0.0537,-8.122,0,"Honey, This Mirror Isn't Big Enough for the Two of Us",55,2002,0.0789,108.591
0.063,2002,0.0364,['Coldplay'],0.262,318627,0.482,0,0u35Dpz37TY2M2j20RUdMf,0.000189,5,0.11,-7.75,0,Politik,61,2002-08-08,0.0294,170.968
0.276,2002,0.000162,['My Chemical Romance'],0.291,208173,0.976,0,51VwpPzxUd6g94iELptagU,8.29e-06,2,0.359,-6.443,1,Headfirst for Halos,53,2002,0.09,112.225
0.289,2003,0.0556,['blink-182'],0.55,183787,0.913,0,1e1krgHCTUGDhhIgsRVHJ0,0.00094,11,0.133,-6.501,1,Down,50,2003-01-01,0.0392,93.987
0.59,2003,0.0106,['blink-182'],0.463,251867,0.925,0,3HM4NePuYAqdXpAGBk7nNz,0.027,11,0.189,-5.74,1,Always,62,2003-11-01,0.0747,158.33700000000005
0.48,2004,0.000129,['My Chemical Romance'],0.353,210867,0.953,0,4fGIqy3bvjX0jz1SJHqjjo,0.0,1,0.34,-3.635,0,"It's Not a Fashion Statement, It's a Deathwish",59,2004-06-08,0.0515,105.236
0.602,2004,0.00682,['Sum 41'],0.457,182040,0.83,0,1ibeKVCiXORhvUpMmtsQWq,0.00337,5,0.166,-5.2620000000000005,1,Pieces,65,2004-10-12,0.0321,99.93
0.185,2004,0.000389,['My Chemical Romance'],0.494,217733,0.971,0,7HKfrU3iuEFrKxTAfVznrG,4.45e-05,2,0.0978,-3.868,0,The Jetset Life Is Gonna Kill You,57,2004-06-08,0.0546,125.019
0.274,2004,0.00114,['My Chemical Romance'],0.253,232467,0.887,0,6gLn8QhAYL4dEwdpVjfCPl,2.99e-06,11,0.259,-4.635,0,I Never Told You What I Do for a Living,57,2004-06-08,0.0578,115.522
